,distance_from_home,distance_from_last_transaction,ratio_to_median_purchase_price,repeat_retailer,used_chip,used_pin_number,online_order,fraud
367992,6.305452757705149,31.54029164775943,3.927270071568552,1.0,0.0,0.0,0.0,0.0
691217,3.752626359941884,0.6003600996765046,0.2692199762474644,1.0,0.0,0.0,1.0,0.0
978895,1.0116789510834636,0.128978809579631,0.1291391437577784,0.0,1.0,0.0,0.0,0.0
490648,49.26992838594735,0.5354204914656385,0.9783565025105104,1.0,0.0,0.0,0.0,0.0
748735,1.316131157318455,3.313971623094254,0.3898533505904169,0.0,1.0,0.0,0.0,0.0
943908,54.00633059542053,7.92182079376825,0.4858165761563012,1.0,1.0,1.0,1.0,0.0
957764,9.563877757619547,1.2117068637938735,1.2114595207264027,1.0,0.0,0.0,0.0,0.0
790714,12.848764796782914,7.207748004570659,0.45377290281827,1.0,1.0,0.0,1.0,0.0
9497,18.27836096292487,0.1490544290633637,0.7650971602229424,1.0,1.0,0.0,1.0,0.0
738514,7.161817690156039,7.899322805098907,1.8830172937624288,1.0,0.0,0.0,1.0,0.0
659222,2.5426074904783844,0.4341305968935925,0.5110597045602772,1.0,0.0,0.0,1.0,0.0
505283,1.6131345888194304,0.7558537213307932,0.7243303848588887,0.0,0.0,0.0,1.0,0.0
834969,26.18034308908686,91.52028143110574,1.5016511303750557,1.0,1.0,0.0,0.0,0.0
348322,15.5607155575256,0.0135930565457259,0.9256294299455664,1.0,0.0,0.0,1.0,0.0
531582,1.6047275123934233,0.7193204052667902,0.6572018176325748,0.0,1.0,0.0,0.0,0.0
899575,2.949590115885917,0.1687480491542259,0.7125586525660637,1.0,1.0,0.0,1.0,0.0
196146,2.8090732572037336,3.172771835632817,1.5151271561472095,1.0,0.0,0.0,1.0,0.0
976055,1.535401372140765,1.4499414718016592,0.0301671954693289,0.0,0.0,0.0,0.0,0.0
370752,3.748624229028037,0.3255038028824096,0.3423615572139766,1.0,1.0,0.0,1.0,0.0
243774,89.62655007348847,0.4905844257471879,1.8001842662458023,1.0,0.0,0.0,1.0,0.0
696046,20.18208851175007,0.0307127014256928,0.1910131383815842,1.0,1.0,0.0,1.0,0.0
780291,0.5327501514408359,0.1081367230850205,0.8373565424331422,0.0,0.0,0.0,0.0,0.0
827229,0.4810566822033507,4.827456312352088,0.8050690434007779,0.0,1.0,0.0,1.0,0.0
95482,8.642972129798865,7.535179386693807,1.6649243042585224,1.0,1.0,0.0,1.0,0.0
306729,10.624086493444542,0.0615688346632114,1.863013206420919,1.0,0.0,1.0,1.0,0.0
274512,2.7090716557177466,3.5450806722026384,1.966436878518934,1.0,0.0,0.0,1.0,0.0
818803,47.66478650891828,3.3792383427217088,6.414193146592407,1.0,1.0,0.0,1.0,1.0
86002,17.338501044993652,1.7212363813930889,3.0740843517553724,1.0,0.0,0.0,1.0,0.0
158018,13.234565886784695,1.9850246841801449,2.928176471276171,1.0,0.0,0.0,1.0,0.0
869338,8.133120232202653,4.845821026159146,0.1758634046985925,1.0,0.0,0.0,1.0,0.0
332281,22.95863076976761,1.372884876986277,0.2906342916344053,1.0,0.0,0.0,1.0,0.0
308076,13.486850258866056,2.292599775240669,0.6568308032524831,1.0,0.0,0.0,0.0,0.0
302238,155.5525968115182,1.1855606976360007,5.135729438081817,1.0,0.0,0.0,1.0,1.0
324129,1.8246809404783135,2.9324181784010284,1.3177926935512851,0.0,0.0,0.0,1.0,0.0
401259,10.319241367330262,0.4007529628745046,3.5974155724101857,1.0,0.0,0.0,0.0,0.0
193980,33.823597138792096,2.60735587908894,3.9226737802757192,1.0,1.0,1.0,1.0,0.0
788759,10.36842872963224,3.0990779001782167,6.261391489475955,1.0,0.0,0.0,1.0,1.0
258594,0.6939691451152893,0.0732971350665684,1.5326593846500456,0.0,0.0,0.0,0.0,0.0
442110,10.177101208789637,0.2487175314969325,1.9852186877558908,1.0,0.0,0.0,0.0,0.0
493815,7.559846275271772,0.9152294661184828,1.4427320350379562,1.0,1.0,0.0,1.0,0.0
398185,11.609460064753945,2.0024171862724374,6.071421058835812,1.0,0.0,0.0,1.0,1.0
154847,5.484234969780526,0.1352863493166957,1.057220287098256,1.0,1.0,1.0,1.0,0.0
677425,26.503219336918725,0.2583704008169011,0.7909617057945176,1.0,0.0,0.0,0.0,0.0
178556,18.25176461113885,1.2743568063429094,1.9852942902377804,1.0,1.0,0.0,1.0,0.0
638705,21.892185721447333,0.0765315462040436,4.126538353074377,1.0,1.0,0.0,0.0,0.0
594716,4.539044232312446,5.936958457795664,6.495674138160967,1.0,0.0,0.0,1.0,1.0
441249,299.5223659323266,1.160678846002702,2.409676634063154,1.0,0.0,1.0,1.0,0.0
849827,6.46941543108231,30.38032065451228,1.2161514555198334,1.0,0.0,0.0,1.0,0.0
786220,10.55005360176988,42.87800410748477,0.3757043727535807,1.0,0.0,0.0,1.0,0.0
118225,6.655896277199112,2.1248317055869816,1.2905282600472603,1.0,0.0,0.0,0.0,0.0
791850,0.87015596724257,10.15596246392807,0.3464487036789674,0.0,1.0,0.0,1.0,0.0
110619,75.35470171787584,1.2288573022238989,2.464917629965618,1.0,0.0,0.0,1.0,0.0
937944,1.6798012744923765,0.5825114312295818,3.489844433888781,0.0,0.0,0.0,1.0,0.0
518411,6.62643085745929,3.5106731036750025,0.8638782848204577,1.0,1.0,0.0,1.0,0.0
156684,8.330132450711707,28.949048057233444,1.11602410016318,1.0,0.0,1.0,1.0,0.0
189469,17.422073703830378,1.004165351058177,0.7324316217257149,1.0,1.0,0.0,1.0,0.0
997132,12.88233384254295,1.052968721984284,0.7261730729558504,1.0,1.0,0.0,1.0,0.0
696038,5.019703151841683,0.4543354022157511,6.721197381937202,1.0,1.0,0.0,1.0,1.0
635432,4.750435174877917,2.8140278100242786,2.138822405463792,1.0,0.0,0.0,1.0,0.0
580240,32.644823418384235,85.30764037184808,0.8302471283898769,1.0,1.0,0.0,0.0,0.0
249099,19.736588733328443,0.421351994237305,1.631522053159523,1.0,1.0,0.0,1.0,0.0
806046,24.03177870461894,0.5085548993166573,4.871536730777532,1.0,0.0,0.0,1.0,1.0
896973,106.16284425105172,0.1808305807472721,1.2159833763231138,1.0,0.0,0.0,1.0,1.0
416360,6.980628621810962,0.5656174853254238,1.935717727596413,1.0,0.0,0.0,0.0,0.0
343509,38.86926414232397,0.898313463545344,0.2568912169231606,1.0,1.0,0.0,1.0,0.0
42287,2.1541065607928296,1.3133826893153784,0.9222422391060966,1.0,0.0,0.0,0.0,0.0
480533,8.595128626092162,0.7059721191520667,0.5312525222772156,1.0,1.0,1.0,1.0,0.0
771240,23.877404335133782,0.1208446186865934,2.2211915109316505,1.0,1.0,0.0,1.0,0.0
662227,5.731980908512934,0.3911590488804159,3.5408416607406825,1.0,0.0,0.0,0.0,0.0
640111,17.455435710811447,0.4568851390016821,1.0444331919541343,1.0,1.0,0.0,0.0,0.0
89177,1.155937696474728,0.0626782892570212,0.9330789096752248,0.0,1.0,1.0,1.0,0.0
423767,22.16492396965888,4.215975903864312,0.5072464359078815,1.0,1.0,0.0,1.0,0.0
929085,17.617775046928134,2.65930123516775,2.347988802230104,1.0,1.0,0.0,0.0,0.0
100274,73.24348896378024,0.3517617879964023,0.3226210459506469,1.0,0.0,0.0,0.0,0.0
37655,12.996309378137978,0.9607005454891794,0.6884469715377606,1.0,1.0,0.0,1.0,0.0
216492,31.64690247830365,1.0262990841993027,0.9007092406545691,1.0,1.0,0.0,1.0,0.0
945300,36.94956593213812,0.0251996691514632,1.914144697814016,1.0,0.0,0.0,1.0,0.0
686765,37.94124115128693,2.015441277014394,0.7520211717618136,1.0,0.0,1.0,0.0,0.0
540644,10.645679394352808,0.0502560702690415,1.5192888445664854,1.0,0.0,0.0,1.0,0.0
745951,300.88628679571303,6.949711880454745,0.630825386656295,1.0,1.0,1.0,0.0,0.0
345438,43.829087485216505,0.5417909260292418,1.070084314532008,1.0,0.0,0.0,1.0,0.0
492692,33.264439945185885,1.69264918178659,0.8289948417027351,1.0,0.0,0.0,0.0,0.0
124356,30.51058901220392,0.1093480508511142,1.534626709835366,1.0,1.0,0.0,0.0,0.0
51263,4.557483989250585,346.64173797298787,1.2181149036900154,1.0,1.0,0.0,1.0,0.0
179458,7.4017624659259935,4.649784378334323,0.7954665770872411,1.0,1.0,0.0,1.0,0.0
29824,16.900255705480475,1.010657644270619,0.7078977679225579,1.0,1.0,0.0,0.0,0.0
773193,81.16889231114655,51.37399706309898,0.7969373863834052,1.0,0.0,0.0,1.0,1.0
40545,2.1741368593681942,1.2977583273775664,1.0574573485907972,1.0,0.0,0.0,0.0,0.0
844613,97.0843436988599,1.1779749304717182,0.1313716744346539,1.0,0.0,0.0,0.0,0.0
617784,2.274735256259712,17.642181969959,0.5299262755827755,1.0,0.0,0.0,0.0,0.0
847205,42.71050428439942,1.4548714011598145,1.1519345031756911,1.0,0.0,0.0,1.0,0.0
558631,3.9951266564697967,0.1398695725637195,0.970264066040992,1.0,1.0,0.0,1.0,0.0
58258,12.89161796979795,0.7846883186647002,2.6633607795645298,1.0,1.0,0.0,1.0,0.0
559221,27.38790940026805,0.1939075995515721,0.2838343685522281,1.0,0.0,1.0,1.0,0.0
590803,5.939757449641144,0.0878981990150571,0.5118800273287755,1.0,0.0,0.0,1.0,0.0
650280,1.2618232523232902,5.558875761947776,0.6418840696524561,0.0,1.0,1.0,1.0,0.0
120590,4.641123548314705,7.742530340190111,0.5623981180353637,1.0,0.0,0.0,1.0,0.0
318445,9.38480781201542,0.2111777834454339,3.044211717580608,1.0,0.0,0.0,0.0,0.0
344193,4.455067847218207,1.0379595018494223,5.082403138521486,1.0,0.0,0.0,1.0,1.0
360801,9.377206119917153,0.2600358282928855,0.0343639950075938,1.0,1.0,0.0,1.0,0.0
441248,15.0527559158034,3.925348757026661,2.172037288421303,1.0,1.0,0.0,0.0,0.0
379119,50.20931619987493,1.371627172129404,1.1835200985231356,1.0,1.0,0.0,1.0,0.0
582616,2.902314906414375,0.993919850323898,0.3810134306285103,1.0,0.0,1.0,1.0,0.0
310296,23.138197173581464,0.2023223235081524,4.060402924023602,1.0,0.0,0.0,0.0,0.0
677097,50.97799074048296,0.7101235315871025,1.2368925793358485,1.0,0.0,0.0,1.0,0.0
364958,39.82757067488604,0.4333099709907321,0.704197621673183,1.0,1.0,0.0,1.0,0.0
848819,2.0487037513221984,0.2077627600138923,0.1748611554880298,1.0,0.0,0.0,0.0,0.0
138606,12.316865752986793,0.6874090061836237,1.7032968255485277,1.0,0.0,0.0,0.0,0.0
687764,5.269666620837462,0.0026918158202662,0.4977865382681679,1.0,1.0,0.0,0.0,0.0
831117,3.875116376050975,10.363705618969997,1.1826839471286,1.0,1.0,0.0,0.0,0.0
289500,7.600947347626324,7.79371826770885,1.023368020388955,1.0,1.0,1.0,0.0,0.0
379474,1.8790613044211608,0.5057959713430491,0.1876222051387404,0.0,0.0,0.0,0.0,0.0
896355,1.996117241508208,0.9436754919719426,0.7801238756654951,1.0,1.0,0.0,1.0,0.0
662626,30.335144988092843,1.0291340306842478,4.603214893332817,1.0,0.0,0.0,1.0,1.0
56948,2.791617055079435,10.972041411343609,8.788547583713754,1.0,0.0,0.0,0.0,0.0
511248,18.796507636528453,0.7645906212120821,2.353641564430672,1.0,0.0,1.0,1.0,0.0
469935,35.49615317466944,0.2554343581993359,0.8750781332612273,1.0,0.0,0.0,1.0,0.0
482899,6.741821323127882,0.8131839733934364,0.3677950990164366,1.0,1.0,0.0,1.0,0.0
427196,1.5532767022860154,0.3399063994716978,27.68314389759223,0.0,0.0,0.0,1.0,1.0
681982,22.87359770455184,1.0912912070951428,0.5337554599219178,1.0,0.0,0.0,1.0,0.0
354196,20.640291324262616,1.3505755011865526,5.482448664715508,1.0,1.0,0.0,1.0,1.0
898055,0.5848476123127812,0.4516618065778067,0.1770617916828717,0.0,0.0,0.0,1.0,0.0
7935,17.875093897083538,2.636800628575294,0.8729938012742688,1.0,0.0,0.0,0.0,0.0
558016,1.9175000891807803,4.711132502025112,0.8992346144415749,1.0,1.0,0.0,0.0,0.0
405354,19.07270918484964,0.2524961489257682,1.6526563184285217,1.0,1.0,0.0,1.0,0.0
446818,84.37901688950961,4.235877637099862,0.3093574454710835,1.0,0.0,0.0,1.0,0.0
456630,6.720714689258331,1.420007111997284,0.1914493601403675,1.0,0.0,0.0,1.0,0.0
283957,41.43012879877285,0.7645951255450815,0.350876676917737,1.0,0.0,0.0,1.0,0.0
242053,27.13941435323828,53.34744562058252,0.0946998328093215,1.0,1.0,0.0,1.0,0.0
307625,4.256611146815057,0.0147517079293182,0.4328600989894989,1.0,1.0,0.0,1.0,0.0
207957,6.433989660450719,0.0225852972380997,1.295269147962733,1.0,0.0,0.0,0.0,0.0
319133,10.036308817164642,1.3808040561619224,0.0948720012911709,1.0,0.0,0.0,0.0,0.0
109978,1.0480426969806895,0.5665039953791806,2.194285991059389,0.0,0.0,0.0,1.0,0.0
617007,17.55559757469747,19.39228363746177,9.208288595712498,1.0,0.0,0.0,0.0,0.0
10764,15.579590366133958,21.88170508556088,1.4764286564510056,1.0,1.0,0.0,0.0,0.0
607826,154.62787215829556,6.8071616360997,0.2500549650296434,1.0,0.0,0.0,1.0,1.0
837657,0.2120823415759825,0.0583267473182921,0.8302309333381416,0.0,0.0,0.0,1.0,0.0
722991,98.16531215916564,17.43720942175497,3.851812835449492,1.0,0.0,0.0,1.0,0.0
456974,14.270291463758156,0.0563656203509793,0.6476945539147989,1.0,0.0,0.0,1.0,0.0
3244,12.867529807435597,0.0621845035731653,1.577865888752734,1.0,0.0,0.0,1.0,0.0
616968,17.826722969045843,2.599345075955119,13.557694404286469,1.0,0.0,0.0,1.0,1.0
241576,10.63445852367198,3.567415610506559,0.1073947073471688,1.0,0.0,0.0,1.0,0.0
75588,6.011205110239942,8.094040545301775,1.2582543601643157,1.0,0.0,0.0,0.0,0.0
866519,21.069532539394537,0.0625706271018018,1.238647682065413,1.0,0.0,0.0,1.0,0.0
169153,46.821659966139975,10.986023969125885,1.2299976899541034,1.0,0.0,0.0,0.0,0.0
418026,3.001775422117488,0.0953957957466989,0.5328373794152068,1.0,0.0,0.0,1.0,0.0
694967,3.693946834334548,3.224493858549277,0.3116744702135663,1.0,0.0,0.0,0.0,0.0
816934,73.2505550755672,0.0415897829400822,1.0132482751342071,1.0,0.0,0.0,1.0,0.0
141582,16.505866135688347,0.2004170197889286,1.4140783178777554,1.0,0.0,0.0,0.0,0.0
88225,16.158418379100205,1.3506405269027073,0.2262206878211173,1.0,0.0,0.0,1.0,0.0
996480,13.595569599298324,0.6103871348255959,2.505011451353576,1.0,0.0,0.0,1.0,0.0
382327,4.707625916635302,4.36160688221024,0.2906872872425548,1.0,0.0,1.0,1.0,0.0
859076,68.17013028547876,1.34300886598878,3.859445355520025,1.0,0.0,0.0,1.0,0.0
302388,4.538180856304536,0.4863282917846951,0.3480625100402467,1.0,1.0,0.0,1.0,0.0
398945,16.782715397995545,0.6333538927605223,1.1002751877912766,1.0,1.0,0.0,0.0,0.0
638368,5.537285318898975,1.164401616083402,1.4362591387249068,1.0,1.0,0.0,0.0,0.0
721196,1.1060463471233135,0.0904612885415347,1.1806374906975805,0.0,0.0,0.0,1.0,0.0
102628,70.79195912238461,21.52763986578926,4.398567811691779,1.0,0.0,0.0,0.0,0.0
19010,1.676428702708625,0.5028690092791276,0.7791953064184455,0.0,1.0,0.0,0.0,0.0
74911,81.83519362942681,0.801880569190381,1.301344276490991,1.0,0.0,0.0,1.0,0.0
643508,18.12973088406616,0.5499101259433082,6.766168066634077,1.0,1.0,1.0,1.0,0.0
845689,367.6179904327832,0.5416844448461581,0.868534649542085,1.0,0.0,0.0,1.0,1.0
715785,1.8558965529582647,2.331211859671224,0.6402544930742816,0.0,1.0,0.0,1.0,0.0
676622,13.04610830579414,1.6821046586793262,0.4330152299654733,1.0,0.0,0.0,0.0,0.0
712142,19.80981025023444,9.138914279310676,0.7409974045803277,1.0,0.0,0.0,1.0,0.0
802699,13.398202569723022,0.0989813557524712,0.2241219715337021,1.0,1.0,0.0,1.0,0.0
197749,67.59519236072396,1.0069798001396948,2.4707597496385403,1.0,0.0,1.0,0.0,0.0
743018,4.886874554204744,1.154738832309376,3.73427969087732,1.0,0.0,0.0,0.0,0.0
584987,3.3392080813033598,0.0767084346482115,2.344401726645365,1.0,0.0,0.0,1.0,0.0
887253,52.7193035601167,0.0646053535125592,0.2961963480073739,1.0,1.0,0.0,1.0,0.0
637442,1.5456836008921573,15.35806139442752,0.4712541769037185,0.0,1.0,0.0,0.0,0.0
836783,12.881585400019327,13.855325274528624,0.608585317073972,1.0,1.0,0.0,0.0,0.0
371263,4.689766809911087,22.754455422877644,5.222005713113684,1.0,1.0,0.0,1.0,1.0
710383,13.639720209834046,0.2337738523274857,1.6319891240601478,1.0,0.0,0.0,1.0,0.0
683348,2.25015746302506,0.9371779175718784,0.7731516456608176,1.0,1.0,0.0,1.0,0.0
83916,2.0309211806848464,0.620779219382626,0.8346063116375397,1.0,0.0,0.0,0.0,0.0
838787,1.6150748441408045,46.74730814624224,0.7328807058161148,0.0,1.0,0.0,1.0,0.0
474359,7.361370881046089,0.9077653553242964,0.5908304659264338,1.0,1.0,0.0,1.0,0.0
525863,4.166234633958751,0.1190979459221822,0.1534057902579308,1.0,0.0,0.0,0.0,0.0
311042,25.556814380265767,0.2072770500805504,1.4918560568907584,1.0,0.0,0.0,0.0,0.0
246698,63.52269925885058,3.0034498260596303,0.6997568538427454,1.0,0.0,0.0,0.0,0.0
715094,3.035769221936031,0.8617136989970863,0.9075517152207436,1.0,0.0,0.0,0.0,0.0
310634,41.42818198291745,0.9476292028182708,0.2022683503324588,1.0,0.0,0.0,1.0,0.0
868476,3.2524991444219093,0.3957154246566726,1.0389255973201177,1.0,0.0,0.0,1.0,0.0
399338,19.20502059141647,2.062003420046864,2.8005435920400137,1.0,0.0,0.0,1.0,0.0
462928,40.88843739029566,5.203504370859019,0.5220505619770842,1.0,0.0,0.0,1.0,0.0
169832,1.8515969494385236,9.648513107489515,0.0854712651438078,0.0,0.0,0.0,0.0,0.0
536044,28.503660307321777,0.9044708842295884,1.199603642703365,1.0,1.0,0.0,0.0,0.0
1899,88.73138445504254,0.2196721134203056,0.7099424220901854,1.0,1.0,0.0,0.0,0.0
772751,35.20405462494812,0.1102229147211419,0.6653564121632247,1.0,0.0,0.0,0.0,0.0
345209,2.256229526708362,0.2728726497318163,0.6885664964755628,1.0,0.0,0.0,1.0,0.0
331050,43.57376072793858,0.7499884969400402,2.0445996166607103,1.0,0.0,1.0,0.0,0.0
716373,18.50082672419519,0.7627557287666701,1.3650023332217958,1.0,1.0,0.0,1.0,0.0
94593,98.08168967456282,5.005467251742036,1.219891893438167,1.0,0.0,0.0,1.0,0.0
162207,1.031709773890881,2.328496520995265,0.2005468109718675,0.0,0.0,0.0,1.0,0.0
812762,14.73307038255192,0.5942499930272128,0.1264066625291767,1.0,0.0,0.0,0.0,0.0
893764,31.050690433656715,2.653469603920179,0.0625716106666654,1.0,1.0,0.0,1.0,0.0
729707,7.185119365310564,1.9750456624915025,0.7228202551878872,1.0,0.0,0.0,0.0,0.0
274308,70.7601252304261,3.566167164230817,0.2124725749208629,1.0,1.0,0.0,1.0,0.0
988470,4.604550702350382,7.852704030904117,0.7291412763544896,1.0,0.0,0.0,1.0,0.0
132297,2.124932987371824,1.440479248195909,1.1329727972443118,1.0,0.0,0.0,1.0,0.0
911990,7.771699384752869,18.40071852414207,0.605996232691318,1.0,0.0,0.0,0.0,0.0
394838,2.9882660305068853,6.161053102913272,0.9077810152254184,1.0,0.0,0.0,1.0,0.0
603657,6.822189108496145,2.5913999983424785,1.3167463041729155,1.0,0.0,0.0,1.0,0.0
652769,1.6697048953210525,27.817863059296087,3.107778162705458,0.0,0.0,0.0,1.0,0.0
884992,31.636780628279123,0.590833226382087,3.516019301577324,1.0,0.0,0.0,1.0,0.0
440457,10.1216787769122,0.5850510957483621,0.3631468595271352,1.0,0.0,0.0,1.0,0.0
200979,16.081290056641567,11.6084992579632,2.1548110447912263,1.0,0.0,0.0,1.0,0.0
816887,1.571534263339869,7.007295482775328,0.461414549057317,0.0,0.0,0.0,0.0,0.0
776049,1.0722742532721106,0.1907632252009679,0.2571344275316856,0.0,0.0,1.0,1.0,0.0
591493,8.244260173691359,0.4153758107163708,0.3614099828892434,1.0,0.0,0.0,1.0,0.0
881499,19.739589043164628,29.0615907619847,0.2041884447039006,1.0,1.0,0.0,0.0,0.0
463305,0.4726036738307492,13.339184449339216,0.250704297686972,0.0,0.0,0.0,0.0,0.0
919463,15.922499030052336,0.4137648196200262,3.3863323722411454,1.0,0.0,0.0,1.0,0.0
829818,26.98613933506839,2.493246219842308,0.2642124669790612,1.0,0.0,1.0,1.0,0.0
330174,29.11341369060024,0.7853312481840387,0.1614245768140836,1.0,0.0,0.0,0.0,0.0
899666,117.24316207931692,0.3185558659019453,1.925458647165132,1.0,0.0,0.0,1.0,1.0
212615,104.8719980704876,0.4109169133849941,0.3750274581353356,1.0,1.0,1.0,0.0,0.0
23815,1.907957499022935,0.1571639120307606,3.0895938850476794,1.0,1.0,0.0,1.0,0.0
326294,56.24329740048023,9.053431552402284,1.8168858038188576,1.0,0.0,0.0,0.0,0.0
177589,0.2011725261420451,0.0606203369112747,0.6345270658692815,0.0,0.0,0.0,1.0,0.0
660553,5.254350024578677,0.8998445375772377,0.1687912764092853,1.0,1.0,0.0,1.0,0.0
587562,4.213739693980518,0.0280011802991523,2.432896041997151,1.0,1.0,0.0,1.0,0.0
733325,0.6453021942868286,0.0256467248565594,1.5533732687938229,0.0,0.0,0.0,1.0,0.0
336157,50.31526314990117,1.956159787604344,0.5271652129566446,1.0,0.0,0.0,1.0,0.0
265194,28.018160639336596,0.509532342505634,5.420364423057943,1.0,0.0,0.0,0.0,0.0
950847,147.0470560142967,0.7282801150061876,1.217063522515588,1.0,0.0,0.0,1.0,1.0
957995,5.875627514253563,1.989963335716043,0.3570890282902105,1.0,1.0,0.0,1.0,0.0
282868,14.991144608428565,0.0592007504659257,0.6756160162979928,1.0,0.0,0.0,1.0,0.0
506639,3.080988190675083,0.2894103784364928,0.1335130091867253,1.0,0.0,0.0,1.0,0.0
173407,6.646487625461819,1.5688264941884522,0.3016671631016139,1.0,0.0,0.0,1.0,0.0
808121,2.377592331403402,6.615772276484403,1.554039894094144,1.0,0.0,0.0,1.0,0.0
831505,5.038274220171667,6.033545903866712,0.0991984034757767,1.0,1.0,0.0,0.0,0.0
395419,3.4200432760615658,3.4146448173783277,0.134257420242196,1.0,0.0,0.0,1.0,0.0
438352,5.640503728214342,8.622128548221411,1.732102731733903,1.0,0.0,0.0,1.0,0.0
324225,1.7121666441028076,0.2186623263957804,3.2428449580949112,0.0,0.0,0.0,1.0,0.0
210896,35.52989697384335,1.379153606060258,3.118059530812563,1.0,0.0,0.0,1.0,0.0
231372,14.119273905163087,1.1050607361621083,1.729268565579987,1.0,1.0,0.0,0.0,0.0
247523,2.2759969134055744,0.8474515192117241,1.146574182465988,1.0,0.0,0.0,1.0,0.0
74001,4.0817629192148015,2.48031069072923,3.241189514474279,1.0,0.0,0.0,1.0,0.0
